Date,VTECi1-3
03-01-2015 10:54,78.57635152
03-01-2015 10:57,78.57101233
03-01-2015 10:59,78.53549034
03-01-2015 11:02,78.51029133
03-01-2015 11:04,78.51029133
03-01-2015 11:07,78.51029133
03-01-2015 11:09,78.51029133
03-01-2015 11:12,78.53549034
03-01-2015 11:14,78.5539609
03-01-2015 11:17,78.59978653
03-01-2015 11:19,78.67366984
03-01-2015 11:22,78.68393064
03-01-2015 11:24,78.70221226
03-01-2015 11:27,78.74912528
03-01-2015 11:29,78.81453153
03-01-2015 11:32,78.86861619
03-01-2015 11:34,78.86981833
03-01-2015 11:37,78.88764343
03-01-2015 11:39,78.93503602
03-01-2015 11:42,79.06411147
03-01-2015 11:44,79.08906921
03-01-2015 11:47,79.08906921
03-01-2015 11:49,79.08906921
03-01-2015 11:52,79.08906921
03-01-2015 11:54,79.08906921
03-01-2015 11:57,79.06522781
03-01-2015 11:59,79.05375428
03-01-2015 12:02,79.03959747
03-01-2015 12:04,78.92752596
03-01-2015 12:07,78.90380148
03-01-2015 12:09,78.89930261
03-01-2015 12:12,78.87820651
03-01-2015 12:14,78.79963512
03-01-2015 12:17,78.66935072
03-01-2015 12:19,78.53280412
03-01-2015 12:22,78.40402512
03-01-2015 12:24,78.2623243
03-01-2015 12:27,78.07301189
03-01-2015 12:29,77.85108926
03-01-2015 12:32,77.52385743
03-01-2015 12:34,77.10254792
03-01-2015 12:37,76.694657
03-01-2015 12:39,76.45231607
03-01-2015 12:42,75.97487398
03-01-2015 12:44,75.38042726
03-01-2015 12:47,74.900565
03-01-2015 12:49,74.3209358
03-01-2015 12:52,73.73247139
03-01-2015 12:54,73.10826329
03-01-2015 12:57,72.44667773
03-01-2015 12:59,71.74023223
03-01-2015 13:02,70.90961056
03-01-2015 13:04,70.07932041
03-01-2015 13:07,69.19668196
03-01-2015 13:09,68.26229366
03-01-2015 13:12,67.29272477
03-01-2015 13:14,66.28412458
03-01-2015 13:17,65.25960552
03-01-2015 13:19,64.22068859
03-01-2015 13:22,63.18441314
03-01-2015 13:24,62.17772635
03-01-2015 13:27,61.18335301
03-01-2015 13:29,60.40150039
03-01-2015 13:32,59.94779197
03-01-2015 13:34,59.51580704
03-01-2015 13:37,58.66886129
03-01-2015 13:39,57.73020329
03-01-2015 13:42,57.10028336
03-01-2015 13:44,56.35562267
03-01-2015 13:47,55.66452026
03-01-2015 13:49,54.99986114
03-01-2015 13:52,54.51163905
03-01-2015 13:54,54.38233579
03-01-2015 13:57,54.15716593
